29,123,12,13
29,123,12,13
29,123,12,13
29,122,12,13
29,122,12,13
29,121,12,13
29,120,12,13
29,119,12,13
29,118,12,13
29,117,12,13
29,116,12,13
29,115,12,13
29,114,12,13
29,113,12,13
30,112,12,13
30,111,12,13
30,109,12,13
30,108,12,13
30,106,12,13
30,105,12,13
30,103,12,13
30,101,12,13
30,100,12,13
29,98,12,13
29,96,12,13
29,94,12,13
29,93,12,13
28,91,12,13
28,89,12,13
27,87,12,13
27,86,12,13
27,84,12,13
27,82,12,13
27,81,12,13
28,79,12,13
28,77,12,13
28,76,12,13
28,74,12,13
28,72,12,13
28,70,12,13
28,69,12,13
28,67,12,13
28,65,12,13
28,64,12,13
28,62,12,13
27,60,12,13
27,58,12,13
27,57,12,13
27,55,12,13
27,53,12,13
27,51,12,13
27,50,12,13
27,48,12,13
27,46,12,13
27,44,12,13
28,42,12,13
28,41,12,13
28,39,12,13
28,38,12,13
28,36,12,13
27,35,12,13
27,33,12,13
27,32,12,13
26,31,12,13
25,30,12,13
25,29,12,13
25,29,12,13
25,29,12,13
25,29,12,13
26,29,12,13
26,29,12,13
27,29,12,13
27,29,12,13
28,30,12,13
28,30,12,13
28,31,12,13
28,31,12,13
28,31,12,13
28,32,12,13
28,32,12,13
